;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;Total;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Combustíveis sólidos;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Petróleo bruto e produtos petrolíferos;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Gás;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Energia nuclear;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Energias renováveis;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Anos;UE27 (2020) - União Europeia 27 (desde 2020);UE28 - União Europeia (28 Países);ZE19 - Zona Euro (19 Países);DE - Alemanha;AT - Áustria;BE - Bélgica;BG - Bulgária;CY - Chipre;HR - Croácia;DK - Dinamarca;SK - Eslováquia;SI - Eslovénia;ES - Espanha;EE - Estónia;FI - Finlândia;FR - França;GR - Grécia;HU - Hungria;IE - Irlanda;IT - Itália;LV - Letónia;LT - Lituânia;LU - Luxemburgo;MT - Malta;NL - Países Baixos;PL - Polónia;PT - Portugal;CZ - República Checa;RO - Roménia;SE - Suécia;NO - Noruega;UK - Reino Unido;UE27 (2020) - União Europeia 27 (desde 2020);UE28 - União Europeia (28 Países);ZE19 - Zona Euro (19 Países);DE - Alemanha;AT - Áustria;BE - Bélgica;BG - Bulgária;CY - Chipre;HR - Croácia;DK - Dinamarca;SK - Eslováquia;SI - Eslovénia;ES - Espanha;EE - Estónia;FI - Finlândia;FR - França;GR - Grécia;HU - Hungria;IE - Irlanda;IT - Itália;LV - Letónia;LT - Lituânia;LU - Luxemburgo;MT - Malta;NL - Países Baixos;PL - Polónia;PT - Portugal;CZ - República Checa;RO - Roménia;SE - Suécia;NO - Noruega;UK - Reino Unido;UE27 (2020) - União Europeia 27 (desde 2020);UE28 - União Europeia (28 Países);ZE19 - Zona Euro (19 Países);DE - Alemanha;AT - Áustria;BE - Bélgica;BG - Bulgária;CY - Chipre;HR - Croácia;DK - Dinamarca;SK - Eslováquia;SI - Eslovénia;ES - Espanha;EE - Estónia;FI - Finlândia;FR - França;GR - Grécia;HU - Hungria;IE - Irlanda;IT - Itália;LV - Letónia;LT - Lituânia;LU - Luxemburgo;MT - Malta;NL - Países Baixos;PL - Polónia;PT - Portugal;CZ - República Checa;RO - Roménia;SE - Suécia;NO - Noruega;UK - Reino Unido;UE27 (2020) - União Europeia 27 (desde 2020);UE28 - União Europeia (28 Países);ZE19 - Zona Euro (19 Países);DE - Alemanha;AT - Áustria;BE - Bélgica;BG - Bulgária;CY - Chipre;HR - Croácia;DK - Dinamarca;SK - Eslováquia;SI - Eslovénia;ES - Espanha;EE - Estónia;FI - Finlândia;FR - França;GR - Grécia;HU - Hungria;IE - Irlanda;IT - Itália;LV - Letónia;LT - Lituânia;LU - Luxemburgo;MT - Malta;NL - Países Baixos;PL - Polónia;PT - Portugal;CZ - República Checa;RO - Roménia;SE - Suécia;NO - Noruega;UK - Reino Unido;UE27 (2020) - União Europeia 27 (desde 2020);UE28 - União Europeia (28 Países);ZE19 - Zona Euro (19 Países);DE - Alemanha;AT - Áustria;BE - Bélgica;BG - Bulgária;CY - Chipre;HR - Croácia;DK - Dinamarca;SK - Eslováquia;SI - Eslovénia;ES - Espanha;EE - Estónia;FI - Finlândia;FR - França;GR - Grécia;HU - Hungria;IE - Irlanda;IT - Itália;LV - Letónia;LT - Lituânia;LU - Luxemburgo;MT - Malta;NL - Países Baixos;PL - Polónia;PT - Portugal;CZ - República Checa;RO - Roménia;SE - Suécia;NO - Noruega;UK - Reino Unido;UE27 (2020) - União Europeia 27 (desde 2020);UE28 - União Europeia (28 Países);ZE19 - Zona Euro (19 Países);DE - Alemanha;AT - Áustria;BE - Bélgica;BG - Bulgária;CY - Chipre;HR - Croácia;DK - Dinamarca;SK - Eslováquia;SI - Eslovénia;ES - Espanha;EE - Estónia;FI - Finlândia;FR - França;GR - Grécia;HU - Hungria;IE - Irlanda;IT - Itália;LV - Letónia;LT - Lituânia;LU - Luxemburgo;MT - Malta;NL - Países Baixos;PL - Polónia;PT - Portugal;CZ - República Checa;RO - Roménia;SE - Suécia;NO - Noruega;UK - Reino Unido;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1990;740,771.8;x;485,865.8;186,606.0;8,136.1;12,420.7;9,260.2;6.1;5,696.0;10,135.3;5,252.3;3,056.3;34,357.5;5,225.9;12,030.6;110,637.3;9,198.5;14,719.0;3,467.4;25,317.5;1,122.5;5,027.8;28.8;0.0;60,581.9;103,741.8;3,392.6;41,081.3;40,768.8;29,503.6;116,093.6;206,608.0;305,507.7;x;152,694.6;121,689.2;637.3;609.7;5,090.9;0.0;100.8;0.0;1,396.6;1,350.3;11,675.3;0.0;0.0;7,811.7;7,118.5;4,223.8;15.6;275.2;0.0;0.0;0.0;0.0;0.0;98,835.3;115.2;36,294.7;8,263.8;3.7;203.4;52,619.1;40,415.0;x;20,751.1;5,350.4;1,208.0;0.0;60.6;0.0;2,775.1;6,113.1;77.1;3.0;1,127.7;0.0;0.0;3,494.3;837.2;2,340.1;0.0;4,467.6;0.0;12.0;0.0;0.0;4,173.9;175.3;0.0;185.8;8,010.8;3.0;80,262.6;95,016.5;123,067.3;x;89,365.9;13,532.1;1,107.7;9.7;11.3;0.0;1,619.3;2,769.8;338.2;20.2;1,273.2;0.0;0.0;2,515.7;138.1;3,811.6;1,872.9;14,029.8;0.0;0.0;0.0;0.0;54,528.3;2,377.9;0.0;200.7;22,910.8;0.0;24,147.6;40,925.4;188,580.2;x;160,420.4;39,636.3;0.0;11,020.3;3,782.9;0.0;0.0;0.0;3,104.7;1,192.3;13,998.6;0.0;4,956.8;81,018.3;0.0;3,542.0;0.0;0.0;0.0;4,589.8;0.0;0.0;903.4;0.0;0.0;3,246.3;0.0;17,588.6;0.0;16,960.2;70,802.3;x;51,575.5;5,313.4;4,990.1;481.2;314.5;6.1;1,200.8;1,085.8;328.0;490.5;6,221.9;187.9;5,255.0;15,224.3;1,104.7;789.8;167.7;6,380.6;1,061.8;320.5;18.2;0.0;746.1;1,581.6;3,277.4;1,140.7;1,583.3;11,530.3;11,394.1;1,028.9;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1991;725,540.7;x;479,499.1;168,350.5;8,382.6;12,248.9;8,468.4;5.5;5,685.1;11,970.9;4,798.6;3,091.0;34,096.5;4,599.4;11,118.4;117,336.5;9,035.3;14,472.7;3,287.4;26,081.5;1,123.5;4,991.8;30.5;0.0;67,527.4;99,646.7;3,394.1;38,654.9;35,918.6;31,224.1;126,217.2;213,007.5;279,517.8;x;135,104.5;106,085.5;541.8;374.4;4,664.5;0.0;91.2;0.0;1,207.0;1,247.5;10,978.1;0.0;0.0;7,410.0;6,903.4;4,016.3;0.6;245.5;0.0;0.0;0.0;0.0;0.0;94,621.4;110.7;33,979.9;7,030.4;9.6;221.5;53,488.0;39,336.3;x;20,246.6;4,562.8;1,340.9;0.0;59.0;0.0;2,431.1;7,132.0;74.4;2.0;1,396.9;0.0;0.0;3,828.4;765.7;2,250.6;0.0;4,209.6;0.0;33.6;0.0;0.0;4,032.2;172.6;0.0;181.3;6,861.1;2.0;91,601.4;94,682.9;128,543.8;x;96,794.2;13,532.1;1,140.0;8.2;8.1;0.0;1,489.9;3,480.3;232.9;16.5;1,190.7;0.0;0.0;2,856.2;136.5;3,849.2;1,919.4;14,111.0;0.0;0.0;0.0;0.0;61,650.7;2,658.2;0.0;206.4;20,057.5;0.0;23,910.1;45,565.8;193,463.9;x;163,592.1;38,003.5;0.0;11,056.1;3,400.9;0.0;0.0;0.0;3,015.2;1,277.4;14,336.5;0.0;5,032.9;85,470.3;0.0;3,540.7;0.0;0.0;0.0;4,541.3;0.0;0.0;858.7;0.0;0.0;3,129.5;0.0;19,800.8;0.0;18,196.8;73,706.3;x;54,259.2;5,069.5;5,145.3;486.8;335.9;5.5;1,672.9;1,178.7;262.9;547.6;6,133.4;187.0;5,079.6;17,144.9;1,229.7;796.5;167.8;7,374.3;1,051.9;314.0;19.7;0.0;756.0;1,355.5;3,283.4;1,144.3;1,969.7;10,993.5;10,390.8;1,015.3;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1992;713,290.7;x;475,733.0;163,237.0;8,594.7;12,193.1;8,773.6;5.5;5,125.4;12,974.8;4,453.3;2,937.7;33,493.3;4,417.3;12,071.0;118,936.0;8,955.8;13,879.8;3,082.2;27,258.6;1,080.5;4,473.8;45.6;0.0;67,557.6;97,491.5;2,939.7;36,618.0;33,702.5;28,992.1;141,451.5;214,540.9;266,584.8;x;126,182.0;97,596.0;461.7;127.9;5,380.5;0.0;72.0;0.0;1,024.8;1,365.9;11,466.8;0.0;0.0;6,818.6;6,995.1;3,714.7;0.6;234.1;0.0;0.0;0.0;0.0;0.0;92,442.1;90.6;31,433.5;7,347.2;12.7;240.9;48,404.7;38,715.8;x;19,378.7;4,347.2;1,238.4;0.0;54.0;0.0;2,160.7;7,910.1;75.9;2.0;1,376.3;0.0;0.0;3,592.1;628.9;2,128.0;0.0;4,397.5;0.0;64.1;0.0;0.0;3,656.2;216.5;0.0;193.2;6,673.5;1.0;104,430.7;98,552.5;126,784.8;x;97,731.3;13,721.3;1,235.1;4.8;29.8;0.0;1,472.8;3,625.2;212.3;14.3;1,089.1;0.0;0.0;2,782.9;126.1;3,614.1;1,898.5;14,733.5;0.0;0.0;0.0;0.0;61,913.4;2,559.8;0.0;140.2;17,611.6;0.0;25,758.8;46,335.9;193,848.1;x;167,714.8;41,010.2;0.0;11,209.6;2,979.9;0.0;0.0;0.0;2,850.4;1,024.3;14,389.2;0.0;4,968.2;87,303.1;0.0;3,602.1;0.0;0.0;0.0;3,979.6;0.0;0.0;980.2;0.0;0.0;3,159.9;0.0;16,391.4;0.0;19,812.6;75,519.3;x;54,586.8;5,365.8;5,404.0;482.7;329.5;5.5;1,419.9;1,248.3;284.4;531.1;5,108.4;216.4;5,316.6;17,811.9;1,161.6;795.2;162.4;7,780.0;982.6;311.7;34.5;0.0;778.0;1,496.1;2,849.1;1,674.1;1,806.5;12,162.9;10,937.7;1,361.6;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1993;709,143.3;x;471,420.8;152,013.8;8,808.5;11,528.9;9,228.6;5.5;5,426.7;13,951.9;4,957.7;2,760.5;32,710.5;3,517.6;11,759.7;125,298.8;8,977.8;13,662.4;3,451.7;28,300.0;1,180.4;3,962.7;44.2;0.0;68,866.9;97,115.9;3,275.7;36,089.3;33,420.3;28,827.3;148,788.0;222,823.8;250,975.4;x;115,032.8;87,729.1;440.9;0.0;5,213.7;0.0;65.7;0.0;1,039.4;1,231.7;10,908.1;0.0;0.0;6,277.9;7,163.1;3,353.4;0.6;161.3;0.0;0.0;0.0;0.0;0.0;88,927.8;80.8;30,762.0;7,619.9;0.0;179.9;39,063.2;38,648.6;x;18,721.8;4,137.1;1,212.0;0.0;43.7;0.0;2,189.8;8,429.2;68.8;2.0;1,080.0;0.0;0.0;3,486.5;514.2;2,020.2;0.0;4,514.6;0.0;74.3;0.0;0.0;3,632.1;254.0;0.0;216.0;6,774.0;0.0;111,871.8;104,789.4;129,610.8;x;99,765.1;13,752.0;1,279.3;3.8;54.5;0.0;1,673.7;4,007.6;195.5;11.4;596.0;0.0;0.0;2,883.6;93.0;3,890.6;2,156.3;15,681.6;0.0;0.0;0.0;0.0;63,112.4;3,270.9;0.0;188.2;16,760.1;0.0;25,406.7;54,477.6;199,597.8;x;173,340.5;39,582.2;0.0;10,815.2;3,604.4;0.0;0.0;0.0;2,962.9;1,020.5;14,460.9;0.0;5,140.5;94,975.4;0.0;3,558.7;0.0;0.0;0.0;3,364.5;0.0;0.0;1,018.4;0.0;0.0;3,257.2;0.0;15,837.1;0.0;23,048.9;80,044.4;x;55,729.1;5,479.0;5,676.7;339.7;312.2;5.5;1,497.5;1,306.5;469.7;494.8;5,593.0;205.5;5,620.6;17,047.1;1,177.9;814.2;160.6;7,834.6;1,100.2;462.7;33.7;0.0;833.0;3,925.7;3,194.9;1,644.0;2,256.7;12,558.5;11,240.7;1,348.2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1994;696,514.1;x;460,910.9;145,143.8;8,442.1;11,194.5;9,376.5;11.7;4,860.1;15,159.1;5,443.0;2,882.1;32,021.9;3,640.8;12,948.5;122,560.1;9,150.2;13,248.7;3,560.3;29,508.4;1,325.1;2,800.6;45.3;0.0;66,746.5;96,995.3;3,486.0;33,479.4;31,734.1;30,749.9;164,166.6;250,996.0;239,995.8;x;107,070.7;80,909.0;357.1;0.0;5,044.4;0.0;60.0;0.0;1,076.0;1,154.3;10,597.0;0.0;0.0;5,489.0;7,360.8;3,084.0;0.6;66.7;0.0;0.0;0.0;0.0;0.0;88,857.0;60.3;28,103.4;7,776.3;0.0;202.0;28,087.0;40,100.5;x;19,589.4;3,954.0;1,163.3;0.0;36.6;0.0;1,870.4;9,299.2;69.9;2.0;925.9;0.0;0.0;3,414.5;486.5;1,935.6;0.0;4,732.2;0.0;94.7;0.0;0.0;4,746.5;322.8;0.0;221.7;6,819.7;5.0;125,633.4;140,061.1;125,163.3;x;97,442.4;14,266.1;1,165.0;0.9;45.4;0.0;1,463.8;4,342.3;222.5;10.8;180.6;0.0;0.0;2,940.8;47.6;3,755.5;2,193.6;16,545.7;0.0;0.0;0.0;0.0;59,868.9;3,099.3;0.0;191.0;14,823.6;0.0;27,566.8;58,162.4;198,979.2;x;169,169.5;38,922.7;0.0;10,479.1;3,967.3;0.0;0.0;0.0;3,248.9;1,188.9;14,268.2;0.0;5,011.3;92,858.4;0.0;3,624.0;0.0;0.0;0.0;2,168.8;0.0;0.0;1,023.3;0.0;0.0;3,347.5;0.0;18,870.9;0.0;22,772.7;80,535.1;x;57,503.8;5,778.0;5,539.8;323.6;282.8;11.7;1,466.0;1,299.3;545.4;526.1;5,956.5;371.1;5,801.0;17,224.4;1,203.5;820.1;174.1;8,054.4;1,218.3;476.8;35.0;0.0;838.2;3,847.4;3,425.8;1,584.2;2,274.7;11,456.8;10,672.2;1,766.7;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1995;705,266.6;x;465,621.1;144,903.9;8,781.0;11,519.9;10,246.1;42.4;5,007.0;15,656.7;5,013.0;2,955.6;31,331.3;3,542.7;13,109.2;125,990.5;9,298.5;13,855.6;4,101.1;29,424.8;1,432.0;3,944.2;44.6;0.0;66,868.7;98,841.2;3,317.7;32,316.5;32,385.9;31,336.5;175,476.9;256,449.5;238,517.3;x;104,204.8;78,905.2;338.3;0.0;5,286.8;0.0;47.5;0.0;1,016.6;1,191.7;10,121.9;0.0;0.0;5,077.4;7,510.1;3,265.7;0.6;43.0;0.0;0.0;0.0;0.0;0.0;90,548.8;0.0;27,277.3;7,886.3;0.0;196.0;31,157.5;39,582.9;x;18,606.3;3,896.2;1,094.3;0.0;43.7;0.0;1,809.2;9,352.2;75.8;2.0;805.9;0.0;0.0;3,051.1;418.3;2,289.6;0.0;5,385.3;0.0;128.1;0.0;0.0;3,749.3;360.6;0.0;226.4;6,890.9;4.0;135,405.6;136,628.6;127,275.9;x;99,327.8;15,099.4;1,273.9;0.2;39.6;0.0;1,606.3;4,701.7;264.1;15.6;379.4;0.0;0.0;2,792.9;43.9;3,787.7;2,249.1;16,346.7;0.0;0.0;0.0;0.0;60,862.5;3,169.2;0.0;198.0;14,445.7;0.0;28,258.1;63,714.7;204,531.5;x;175,248.4;39,555.6;0.0;10,667.9;4,470.3;0.0;0.0;0.0;2,950.2;1,232.8;14,304.8;0.0;4,956.8;97,308.1;0.0;3,618.1;0.0;0.0;0.0;3,235.7;0.0;0.0;1,036.5;0.0;0.0;3,154.8;0.0;18,040.0;0.0;22,948.6;82,693.5;x;57,535.0;5,976.8;5,849.1;442.6;405.7;42.4;1,544.1;1,356.5;495.9;513.5;5,505.2;509.8;6,115.7;17,040.0;1,289.0;868.6;154.6;7,487.7;1,354.0;501.0;34.7;0.0;905.1;3,924.0;3,317.7;1,426.4;2,796.9;12,836.2;11,527.9;1,835.8;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1996;722,538.4;x;479,748.4;143,079.8;8,685.4;11,993.1;10,648.0;43.2;5,150.8;17,734.8;4,948.6;2,864.0;32,514.9;3,967.5;13,562.6;130,538.1;9,120.4;13,641.9;3,539.6;30,275.6;1,436.0;4,588.9;37.4;0.0;74,760.7;98,519.4;3,792.8;32,741.0;32,892.2;31,462.1;200,265.7;267,763.3;233,218.1;x;98,294.9;73,869.2;262.0;0.0;5,401.5;0.0;38.9;0.0;1,027.0;1,103.4;9,818.3;0.0;0.0;4,991.6;7,189.2;3,333.7;0.0;34.2;0.0;0.0;0.0;0.0;0.0;90,453.0;0.0;27,632.1;8,064.0;0.0;154.4;29,260.7;39,236.7;x;17,663.2;3,775.6;1,060.8;0.0;32.5;0.0;1,740.0;10,323.1;71.7;1.0;521.8;0.0;0.0;2,672.2;471.0;2,110.8;0.0;5,585.2;0.0;155.2;0.0;0.0;3,348.7;395.6;0.0;154.0;6,817.4;0.0;153,276.4;136,255.1;136,041.9;x;108,149.8;16,322.0;1,282.6;1.7;33.0;0.0;1,458.6;5,713.2;241.7;11.1;425.9;0.0;0.0;2,406.5;46.3;3,601.2;2,167.8;16,363.6;0.0;0.0;0.0;0.0;68,880.5;3,140.2;0.0;182.0;13,764.0;0.0;36,763.0;75,887.1;214,742.2;x;183,518.5;41,325.0;0.0;11,178.7;4,682.6;0.0;0.0;0.0;2,901.7;1,198.7;14,530.5;0.0;5,023.9;102,495.3;0.0;3,709.7;0.0;0.0;0.0;3,791.6;0.0;0.0;1,073.1;0.0;0.0;3,314.7;357.5;19,159.2;0.0;24,420.7;86,509.2;x;60,796.3;6,164.5;5,788.3;422.7;498.4;43.2;1,913.2;1,430.3;439.5;549.7;6,982.9;615.1;6,162.2;17,227.9;1,374.0;858.1;168.5;8,120.5;1,342.6;534.9;29.8;0.0;1,037.0;3,882.5;3,792.8;1,424.0;3,847.4;11,858.9;9,979.8;1,777.1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1997;715,226.8;x;469,901.0;143,402.7;8,711.1;13,057.5;10,174.3;41.6;4,925.7;20,316.3;4,918.2;2,984.8;31,524.9;3,884.6;15,015.9;127,439.7;9,588.1;13,323.9;2,853.2;30,407.4;1,623.8;4,162.3;42.5;0.0;66,495.1;99,676.3;3,747.6;33,397.6;31,509.4;32,002.3;204,892.1;267,176.9;229,784.3;x;94,953.6;70,755.0;267.2;0.0;5,011.6;0.0;29.4;0.0;1,061.7;1,179.0;9,822.0;0.0;0.0;4,108.5;7,706.2;3,481.7;0.0;54.0;0.0;0.0;0.0;0.0;0.0;91,715.1;0.0;27,990.0;6,602.9;0.0;259.1;28,681.5;40,301.9;x;17,525.3;3,750.6;1,042.7;0.0;30.2;0.0;1,832.7;11,446.3;64.8;1.0;378.1;0.0;75.1;2,287.3;426.1;1,965.2;0.0;6,047.7;0.0;212.0;0.0;0.0;3,239.9;371.1;0.0;419.1;6,711.9;0.0;152,978.9;133,755.9;125,678.9;x;98,565.8;16,078.7;1,227.8;0.1;28.1;0.0;1,402.7;7,047.2;222.4;10.3;162.7;0.0;0.0;2,127.0;44.9;3,359.7;1,906.2;15,779.8;0.0;0.0;0.0;0.0;61,005.8;3,204.1;0.0;163.3;11,908.0;0.0;41,018.4;77,299.0;216,856.1;x;185,948.8;43,988.1;0.0;12,229.1;4,599.0;0.0;0.0;0.0;2,856.3;1,294.7;14,264.3;0.0;5,389.7;102,016.3;0.0;3,654.3;0.0;0.0;0.0;3,289.3;0.0;0.0;621.2;0.0;0.0;3,222.9;1,392.9;18,038.2;0.0;25,317.1;89,791.5;x;61,460.7;7,122.2;5,904.2;429.3;484.8;41.6;1,660.9;1,535.0;431.9;499.7;6,645.3;636.1;6,744.7;16,143.4;1,368.9;834.4;180.7;8,334.9;1,530.0;541.7;33.5;0.0;1,125.0;3,873.0;3,747.6;1,553.6;4,865.4;13,523.6;10,546.9;1,944.4;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1998;684,352.8;x;455,391.0;135,772.7;8,883.2;12,800.6;10,185.2;43.0;4,852.9;20,464.2;4,962.4;3,032.8;32,171.9;3,243.1;13,569.8;124,126.3;9,865.1;12,460.7;2,460.6;30,293.2;1,770.6;4,707.5;53.1;0.0;63,902.9;86,922.6;3,732.1;31,738.5;28,897.3;33,440.4;199,281.6;271,042.0;206,986.0;x;88,197.3;64,898.1;269.6;0.0;5,066.5;0.0;30.6;0.0;1,063.8;1,193.8;9,280.2;0.0;0.0;3,318.5;8,126.0;3,158.3;0.0;47.2;0.0;0.0;0.0;0.0;0.0;79,282.4;0.0;26,101.3;5,149.6;0.0;220.1;23,869.6;39,901.1;x;16,990.1;3,868.7;1,062.8;0.0;35.6;0.0;1,860.4;11,741.1;60.8;1.0;539.1;0.0;96.4;2,094.5;288.9;1,827.5;0.0;5,754.9;0.0;276.9;0.0;0.0;2,946.1;424.9;0.0;433.3;6,588.1;0.0;146,440.5;138,058.9;120,045.7;x;94,372.6;15,670.3;1,348.0;0.0;23.4;0.0;1,282.5;6,834.4;199.9;6.9;102.4;0.0;0.0;1,837.4;40.3;2,965.4;1,406.9;15,568.4;0.0;0.0;0.0;0.0;58,192.2;3,248.6;0.0;169.3;11,149.5;0.0;41,354.4;81,167.4;215,220.6;x;183,444.2;41,696.6;0.0;11,908.4;4,379.5;0.0;0.0;0.0;2,939.1;1,300.6;15,217.5;0.0;5,637.1;100,083.4;0.0;3,647.6;0.0;0.0;0.0;3,677.7;0.0;0.0;983.8;0.0;0.0;3,399.3;1,369.0;18,981.0;0.0;25,662.8;92,232.2;x;63,344.2;7,684.8;5,952.6;491.6;676.5;43.0;1,679.4;1,602.9;440.6;530.4;6,782.7;511.7;7,246.9;16,012.3;1,362.3;832.1;231.4;8,681.2;1,756.0;611.6;36.6;0.0;1,236.5;3,882.7;3,732.1;1,569.5;4,640.2;14,004.8;11,165.3;2,080.9;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
